Price,Beds,Bathrooms,Car slots,Lot area
675000,3,2,1,739
635000,4,1,1,695
640000,3,1,5,720
615000,3,1,2,758
625000,3,1,1,885
565000,3,1,1,765
550000,3,1,2,1033
570000,3,1,1,934
480000,3,1,3,607
395000,3,1,1,736
870000,4,2,2,713
825000,3,2,4,1669
840000,4,3,2,1398
819000,4,1,1,691
824000,5,2,4,999
807500,3,2,1,703
782500,4,3,2,613
767500,4,1,1,2000
772500,5,3,2,1340
775000,1,1,2,993
729000,3,2,3,264
712500,4,2,2,1285
700000,3,1,1,689
675000,3,1,2,1811
680000,4,1,1,674
675000,5,2,2,835
650000,3,1,2,830
645000,2,1,1,900
674000,3,1,1,2093
645000,3,1,2,727
654950,3,1,2,765
645000,4,1,4,2188
645000,3,2,1,1289
600000,2,1,2,1162
615000,3,1,2,739
617500,2,2,1,892
595000,3,1,2,822
710000,4,1,1,2061
659000,4,2,2,2402
675000,4,1,1,720
645000,3,1,2,854
650000,3,2,2,841
630000,4,2,2,714
612500,3,1,1,700
622500,3,1,2,785
600000,3,1,1,835
572500,4,2,2,740
425000,3,1,1,81
825000,6,4,1,959
819000,4,2,2,695
739000,3,1,1,1028
720000,3,1,2,868
535000,4,2,1,1897
515000,2,1,1,667
505000,3,1,1,654
475000,3,1,1,304
880000,4,2,2,607
870000,3,2,3,13800
810000,3,1,2,617
824000,4,2,2,1164
775000,2,1,1,836
780000,5,2,4,1103
764950,3,2,2,1151
745000,4,2,4,923
720000,4,2,1,695
640000,3,1,1,1327
525000,3,2,1,835
870000,4,3,1,4648
849000,4,3,1,1239
825000,4,2,1,1271
840000,3,2,2,951
805000,4,2,2,835
790000,4,2,2,836
800000,4,2,2,2378
775000,3,2,2,1302
750000,2,2,1,1018
765000,3,1,1,858
759000,4,1,1,1606
99950,2,1,2,15514
710000,4,1,1,735
680000,2,1,1,1088
680000,4,1,2,776
700000,4,3,2,696
689000,3,2,2,670
654000,3,1,1,961
650000,3,1,1,740
645000,3,1,1,703
629000,3,1,1,1222
634000,3,1,1,689
615000,3,1,1,1012
575000,2,1,2,607
595000,3,2,3,1100
562500,3,1,1,780
565000,3,1,1,834
542500,3,1,1,765
529950,3,1,2,1220
669000,3,1,1,700
595000,2,1,1,1216
610000,3,1,0,379
537500,2,1,2,626
535000,2,1,1,727
495000,0,0,1,940
495000,0,0,1,760
505000,0,0,1,2992
495000,0,0,0,788
500000,0,0,0,18100
470000,0,0,0,21500
449000,1,0,0,4767
625000,3,1,0,581
517500,3,1,2,556
405000,2,1,1,16
249000,0,0,4,21036
870000,4,3,3,703
860000,4,2,4,721
839000,4,2,1,530
825000,5,2,5,720
815000,4,2,2,800
824000,5,2,2,527
835500,2,2,1,1300
810000,4,3,1,721
815000,3,2,4,771
805000,4,2,2,777
810000,5,3,1,878
790000,4,2,6,702
770000,4,2,2,1159
765000,3,2,2,695
775000,4,1,1,1296
740000,5,2,2,784
759000,3,1,1,1853
739000,4,2,2,1119
740000,5,2,2,879
749000,4,2,1,1107
720000,4,2,1,1579
700000,2,2,2,947
699000,0,0,1,422
699000,0,0,1,737
725000,4,2,1,836
400000,0,0,2,3097
420000,0,0,2,1492
399000,0,0,0,4767
399000,0,0,0,830
385000,0,0,1,1628
395000,0,0,3,2353
385000,0,0,0,4047
375000,0,0,1,1260
360000,0,0,1,1328
377500,0,0,0,20000
367500,0,0,0,670
360000,0,0,0,1169
360000,0,0,0,1035
384000,0,0,0,2904
350000,0,0,0,4679
345000,0,0,2,739
355000,0,0,3,644
345000,0,0,0,13700
330000,0,0,2,30100
344000,0,0,0,466
320000,0,0,1,791
325000,0,0,1,1341
315000,0,0,1,1219
299950,0,0,0,1057
299950,0,0,0,682
299000,0,0,0,1035
298000,0,0,0,1473
295000,0,0,0,885
307500,0,0,0,1888
290000,0,0,0,2072
290000,0,0,1,3231
300000,0,0,1,72500
292500,0,0,0,930
279000,0,0,0,2007
269000,0,0,0,8093
265000,0,0,1,2658
277000,0,0,1,4903
260000,0,0,1,2095
250000,0,0,1,879
250000,0,0,1,6530
262500,0,0,2,692
249000,0,0,2,21000
249000,0,0,2,64700
250000,0,0,0,908
250000,0,0,0,2574
230000,0,0,0,2018
220000,0,0,0,1277
230000,0,0,0,974
220000,0,0,0,812
225000,0,0,1,2023
199000,0,0,1,1040
208500,0,0,0,735
208500,0,0,0,735
199000,0,0,0,886
195000,0,0,0,781
195000,0,0,0,1011
165000,0,0,0,3674
620000,3,1,1,410
