Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
675000,11 Wilson Way,BLAXLAND,NSW,2774,3,2,1,739,3
635000,14 Booker Road,HAWKESBURY HEIGHTS,NSW,2777,4,1,1,695,3
640000,59 Davies Avenue,SPRINGWOOD,NSW,2777,3,1,5,720,3
615000,145 Burrawang St,KATOOMBA,NSW,2780,3,1,2,758,3
625000,20 Norwood Street,LEURA,NSW,2780,3,1,1,885,3
565000,7 Boronia Crescent,WINMALEE,NSW,2777,3,1,1,765,3
550000,15 Bermuka Avenue,WENTWORTH FALLS,NSW,2782,3,1,2,1033,3
570000,2 Myrtle Street,KATOOMBA,NSW,2780,3,1,1,934,3
480000,71A Great Western Hwy,MOUNT VICTORIA,NSW,2786,3,1,3,607,3
395000,22 Trow Avenue,KATOOMBA,NSW,2780,3,1,1,736,3
870000,17 Pauline Avenue,WENTWORTH FALLS,NSW,2782,4,2,2,713,3
825000,60-62 Rawson Parade,LEURA,NSW,2780,3,2,4,1669,3
840000,96 Tableland Road,WENTWORTH FALLS,NSW,2782,4,3,2,1398,3
819000,3 Catherine Crescent,BLAXLAND,NSW,2774,4,1,1,691,3
824000,26 Seiberi Close,BLACKHEATH,NSW,2785,5,2,4,999,3
807500,8 Hester Place,LEURA,NSW,2780,3,2,1,703,3
782500,45 Fitzgerald Street,KATOOMBA,NSW,2780,4,3,2,613,3
767500,93 Queens Road,LEURA,NSW,2780,4,1,1,2000,3
772500,109 Victoria Street,MOUNT VICTORIA,NSW,2786,5,3,2,1340,3
775000,26 Station Street,MOUNT VICTORIA,NSW,2786,1,1,2,993,3
729000,18 The Escarpments,KATOOMBA,NSW,2780,3,2,3,264,3
712500,9 Innes Road,MOUNT VICTORIA,NSW,2786,4,2,2,1285,3
700000,15 West  Street,LEURA,NSW,2780,3,1,1,689,3
675000,70 Dalrymple Avenue,WENTWORTH FALLS,NSW,2782,3,1,2,1811,3
680000,36A Hat Hill Road,BLACKHEATH,NSW,2785,4,1,1,674,3
675000,51 Brightlands Avenue,BLACKHEATH,NSW,2785,5,2,2,835,3
650000,4 Clive Street,KATOOMBA,NSW,2780,3,1,2,830,3
645000,10 Messiters Lane,KATOOMBA,NSW,2780,2,1,1,900,3
674000,34 Magdala Street,KATOOMBA,NSW,2780,3,1,1,2093,3
645000,230 Blaxland Road,WENTWORTH FALLS,NSW,2782,3,1,2,727,3
654950,17 Boronia Crescent,WINMALEE,NSW,2777,3,1,2,765,3
645000,7 Coolabah Road,VALLEY HEIGHTS,NSW,2777,4,1,4,2188,3
645000,26 The Appian Way,WOODFORD,NSW,2778,3,2,1,1289,3
600000,6 Eveleigh  Avenue,BLACKHEATH,NSW,2785,2,1,2,1162,3
615000,14 St Georges Crescent,FAULCONBRIDGE,NSW,2776,3,1,2,739,3
617500,1 Chelmsford Avenue,BLACKHEATH,NSW,2785,2,2,1,892,3
595000,16 Acacia Avenue,LEURA,NSW,2780,3,1,2,822,3
710000,84 Birdwood Avenue,WINMALEE,NSW,2777,4,1,1,2061,3
659000,23 Seventh Avenue,KATOOMBA,NSW,2780,4,2,2,2402,3
675000,53 Great Western Highway,BLAXLAND,NSW,2774,4,1,1,720,3
645000,188 Great Western Hwy,WENTWORTH FALLS,NSW,2782,3,1,2,854,3
650000,68 Delmonte Ave,MEDLOW BATH,NSW,2780,3,2,2,841,3
630000,15 Canberra Street,WENTWORTH FALLS,NSW,2782,4,2,2,714,3
612500,16 Strathearn  Road,LEURA,NSW,2780,3,1,1,700,3
622500,3 Waratah Road,WENTWORTH FALLS,NSW,2782,3,1,2,785,3
600000,10 Heather Road,WINMALEE,NSW,2777,3,1,1,835,3
572500,55 Montgomery Street,MOUNT VICTORIA,NSW,2786,4,2,2,740,3
425000,3/47 Station Street,KATOOMBA,NSW,2780,3,1,1,81,5
825000,170 Great Western Highway,WENTWORTH FALLS,NSW,2782,6,4,1,959,3
819000,59 Leumeah Road,WOODFORD,NSW,2778,4,2,2,695,3
739000,10 Tutor Close,WINMALEE,NSW,2777,3,1,1,1028,3
720000,6 Sayers Street,LAWSON,NSW,2783,3,1,2,868,3
535000,53 Letitia St,KATOOMBA,NSW,2780,4,2,1,1897,3
515000,256 Govetts Leap Rd,BLACKHEATH,NSW,2785,2,1,1,667,3
505000,313 Great Western Hwy,WENTWORTH FALLS,NSW,2782,3,1,1,654,3
475000,2/37 Paris Parade,KATOOMBA,NSW,2780,3,1,1,304,6
880000,66 Fitzgerald Street,KATOOMBA,NSW,2780,4,2,2,607,3
870000,9-19 Hay Lane,MOUNT WILSON,NSW,2786,3,2,3,13800,3
810000,306 Leura Mall,LEURA,NSW,2780,3,1,2,617,3
824000,41 Lawson View Parade,WENTWORTH FALLS,NSW,2782,4,2,2,1164,3
775000,100 Megalong Street,LEURA,NSW,2780,2,1,1,836,3
780000,23 West Street,KATOOMBA,NSW,2780,5,2,4,1103,3
764950,52 Russell Avenue,VALLEY HEIGHTS,NSW,2777,3,2,2,1151,3
745000,170 Great Western Highway,BLAXLAND,NSW,2774,4,2,4,923,3
720000,8 Brook Street,HAZELBROOK,NSW,2779,4,2,1,695,3
640000,19 Brook Street,HAZELBROOK,NSW,2779,3,1,1,1327,3
525000,8 Birdwood Parade,HAZELBROOK,NSW,2779,3,2,1,835,3
870000,88 Ross Crescent,BLAXLAND,NSW,2774,4,3,1,4648,3
849000,21 Mona  Road,WOODFORD,NSW,2778,4,3,1,1239,3
825000,22 Central Street,WENTWORTH FALLS,NSW,2782,4,2,1,1271,3
840000,19 Sutton Street,WOODFORD,NSW,2778,3,2,2,951,3
805000,44 Bass Road,WENTWORTH FALLS,NSW,2782,4,2,2,835,3
790000,29 Yester Road,WENTWORTH FALLS,NSW,2782,4,2,2,836,3
