Price,Street Address,Address Locality,Address Region,Postal Code,Beds,Bathrooms,Car slots,Lot area,Type
"$545,000 ",1/101 Megalong Street,LEURA,NSW,2780,2,2,1,,Townhouse
"$650,000 - $700,000",11 Wilson Way,BLAXLAND,NSW,2774,3,2,,739m²,House
"$620,000 - $650,000",14 Booker Road,HAWKESBURY HEIGHTS,NSW,2777,4,1,1,695m²,House
"$620,000 - $660,000",59 Davies Avenue,SPRINGWOOD,NSW,2777,3,1,5,720m²,House
"$600,000 - $630,000",145 Burrawang St,KATOOMBA,NSW,2780,3,1,2,758m²,House
"$600,000 - $650,000",20 Norwood Street,LEURA,NSW,2780,3,1,1,885m²,House
"$550,000 - $580,000",7 Boronia Crescent,WINMALEE,NSW,2777,3,1,,765m²,House
"$550,000 ",15 Bermuka Avenue,WENTWORTH FALLS,NSW,2782,3,1,2,"1,033m²",House
"Price Guide: $545,000 - $595,000",2 Myrtle Street,KATOOMBA,NSW,2780,3,1,1,934m²,House
"$480,000 ",71A Great Western Hwy,MOUNT VICTORIA,NSW,2786,3,1,3,607m²,House
"$380,000 - $410,000",22 Trow Avenue,KATOOMBA,NSW,2780,3,1,1,736m²,House
"Price Guide: $845,000 - $895,000",17 Pauline Avenue,WENTWORTH FALLS,NSW,2782,4,2,2,713m²,House
Contact Agent,28 Cumberland Street,KATOOMBA,NSW,2780,4,2,2,607m²,House
Under Offer,3 Fern Street,KATOOMBA,NSW,2780,5,3,2,698m²,House
"$800,000 - $850,000",60-62 Rawson Parade,LEURA,NSW,2780,3,2,4,"1,669m²",House
"$800,000 - $880,000",96 Tableland Road,WENTWORTH FALLS,NSW,2782,4,3,2,"1,398m²",House
"$799,000 - $839,000",3 Catherine Crescent,BLAXLAND,NSW,2774,4,1,1,691m²,House
"$799,000 to $849,000",26 Seiberi Close,BLACKHEATH,NSW,2785,5,2,4,999m²,House
"$780,000 - $835,000",8 Hester Place,LEURA,NSW,2780,3,2,1,703m²,House
"$780,000 - $820,000",52 Lurline Street,KATOOMBA,NSW,2780,5,3,1,,House
"$770,000 - $795,000",45 Fitzgerald Street,KATOOMBA,NSW,2780,4,3,2,613m²,House
"Price Guide: $750,000 - $785,000",93 Queens Road,LEURA,NSW,2780,4,1,1,"2,000m²",House
"$750,000 - $795,000",109 Victoria Street,MOUNT VICTORIA,NSW,2786,5,3,,"1,340m²",House
"$750,000 - $800,000",26 Station Street,MOUNT VICTORIA,NSW,2786,1,1,2,993m²,House
"$729,000 ",18 The Escarpments,KATOOMBA,NSW,2780,3,2,3,264m²,House
"$695,000 - $730,000",9 Innes Road,MOUNT VICTORIA,NSW,2786,4,2,2,"1,285m²",House
"$675,000 to $725,000",15 West  Street,LEURA,NSW,2780,3,1,1,689m²,House
"$675,000 ",70 Dalrymple Avenue,WENTWORTH FALLS,NSW,2782,3,1,2,"1,811m²",House
"$660,000 to $700,000",36A Hat Hill Road,BLACKHEATH,NSW,2785,4,1,1,674m²,House
"$660,000 - $690,000",51 Brightlands Avenue,BLACKHEATH,NSW,2785,5,2,2,835m²,House
"$650,000 ",4 Clive Street,KATOOMBA,NSW,2780,3,1,2,830m²,House
"$630,000 - $660,000",10 Messiters Lane,KATOOMBA,NSW,2780,2,1,,900m²,House
"$649,000 to $699,000",34 Magdala Street,KATOOMBA,NSW,2780,3,1,1,"2,093m²",House
"$645,000 ",230 Blaxland Road,WENTWORTH FALLS,NSW,2782,3,1,2,727m²,House
"$639,950 - $669,950",17 Boronia Crescent,WINMALEE,NSW,2777,3,1,2,765m²,House
"$630,000 - $660,000",7 Coolabah Road,VALLEY HEIGHTS,NSW,2777,4,1,,"2,188m²",House
"$620,000 - $670,000",26 The Appian Way,WOODFORD,NSW,2778,3,2,1,"1,289m²",House
"Price Guide $600,000",6 Eveleigh  Avenue,BLACKHEATH,NSW,2785,2,1,2,"1,162m²",House
"$600,000 - $630,000",14 St Georges Crescent,FAULCONBRIDGE,NSW,2776,3,1,,739m²,House
"$600,000 - $635,000",1 Chelmsford Avenue,BLACKHEATH,NSW,2785,2,2,1,892m²,House
"$580,000 - $610,000",16 Acacia Avenue,LEURA,NSW,2780,3,1,2,822m²,House
"$695,000 - $725,000",84 Birdwood Avenue,WINMALEE,NSW,2777,4,1,1,"2,061m²",House
"$659,000 ",23 Seventh Avenue,KATOOMBA,NSW,2780,4,2,2,"2,402m²",House
"$650,000 - $700,000",53 Great Western Highway,BLAXLAND,NSW,2774,4,1,,720m²,House
